\fixlen = T
|set|HJD             |Relative_Flux|
|int|double          |double       |
 0   2454280.76319230 0.99920704    
 0   2454280.76350970 0.99727540    
 0   2454280.76382680 0.99642561    
 0   2454280.76414510 0.99717667    
 0   2454280.76446310 0.99771506    
 0   2454280.76478020 0.99722703    
 0   2454280.76509500 0.99663468    
 0   2454280.76541260 0.99699848    
 0   2454280.76573050 0.99562460    
 0   2454280.76604860 0.99658770    
 0   2454280.76636630 0.99568711    
 0   2454280.76668390 0.99535620    
 0   2454280.76699780 0.99593702    
 0   2454280.76731520 0.99562990    
 0   2454280.76763330 0.99545298    
 0   2454280.76795080 0.99463888    
 0   2454280.76826790 0.99486994    
 0   2454280.76858570 0.99376307    
 0   2454280.76890260 0.99354273    
 0   2454280.76922040 0.99341844    
 0   2454280.76953480 0.99375492    
 0   2454280.76985200 0.99476898    
 0   2454280.77016930 0.99348806    
 0   2454280.77048710 0.99217780    
 0   2454280.77080820 0.99316241    
 0   2454280.77112060 0.99307866    
 0   2454280.77143780 0.99378731    
 0   2454280.77175490 0.99388712    
 0   2454280.77207220 0.99260263    
 0   2454280.77239050 0.99247269    
 0   2454280.77270870 0.99340552    
 0   2454280.77302340 0.99303511    
 0   2454280.77334070 0.99320073    
 0   2454280.77365850 0.99170266    
 0   2454280.77397630 0.99315905    
 0   2454280.77429410 0.99278477    
 0   2454280.77460900 0.99414819    
 0   2454280.77492630 0.99344173    
 0   2454280.77524440 0.99295637    
 0   2454280.77556230 0.99254905    
 0   2454280.77587980 0.99323342    
 0   2454280.77619460 0.99258778    
 0   2454280.77651190 0.99260690    
 0   2454280.77683030 0.99342808    
 0   2454280.77714940 0.99317758    
 0   2454280.77746310 0.99379599    
 0   2454280.77778010 0.99238919    
 0   2454280.77809750 0.99336327    
 0   2454280.77841550 0.99278663    
 0   2454280.77873330 0.99234101    
 0   2454280.77905150 0.99354692    
 0   2454280.77936600 0.99327080    
 0   2454280.77968320 0.99333458    
 0   2454280.78000120 0.99235510    
 0   2454280.78031930 0.99439858    
 0   2454280.78063690 0.99384760    
 0   2454280.78095150 0.99230984    
 0   2454280.78126900 0.99282306    
 0   2454280.78158680 0.99221369    
 0   2454280.78190490 0.99294602    
 0   2454280.78222230 0.99328957    
 0   2454280.78253900 0.99331436    
 0   2454280.78285580 0.99310856    
 0   2454280.78317390 0.99284505    
 0   2454280.78349120 0.99366196    
 0   2454280.78380550 0.99313368    
 0   2454280.78412260 0.99382515    
 0   2454280.78444090 0.99213211    
 0   2454280.78475840 0.99323006    
 0   2454280.78507660 0.99299048    
 0   2454280.78539110 0.99277684    
 0   2454280.78570860 0.99326112    
 0   2454280.78602590 0.99317228    
 0   2454280.78634390 0.99297409    
 0   2454280.78666220 0.99355384    
 0   2454280.78697710 0.99307410    
 0   2454280.78729430 0.99372374    
 0   2454280.78761140 0.99227912    
 0   2454280.78792870 0.99271907    
 0   2454280.78824690 0.99319494    
 0   2454280.78856470 0.99310922    
 0   2454280.78888190 0.99322826    
 0   2454280.78919920 0.99220379    
 0   2454280.78951640 0.99375652    
 0   2454280.78983380 0.99341328    
 0   2454280.79014830 0.99300909    
 0   2454280.79046540 0.99237847    
 0   2454280.79078280 0.99259366    
 0   2454280.79110090 0.99172702    
 0   2454280.79141900 0.99418098    
 0   2454280.79173650 0.99291580    
 0   2454280.79205110 0.99249848    
 0   2454280.79236850 0.99448144    
 0   2454280.79268620 0.99369260    
 0   2454280.79300510 0.99287477    
 0   2454280.79331960 0.99331422    
 0   2454280.79363670 0.99263089    
 0   2454280.79395440 0.99393786    
 0   2454280.79427210 0.99360007    
 0   2454280.79459060 0.99363282    
 0   2454280.79490520 0.99452852    
 0   2454280.79522230 0.99445441    
 0   2454280.79553970 0.99554979    
 0   2454280.79585760 0.99621080    
 0   2454280.79617590 0.99461038    
 0   2454280.79649310 0.99602297    
 0   2454280.79680800 0.99534872    
 0   2454280.79712530 0.99606489    
 0   2454280.79744310 0.99559182    
 0   2454280.79776070 0.99744415    
 0   2454280.79807890 0.99756538    
 0   2454280.79839350 0.99689073    
 0   2454280.79871090 0.99731794    
 0   2454280.79902870 0.99710156    
 0   2454280.79934660 0.99742843    
 0   2454280.79966440 0.99689131    
 0   2454280.79997930 0.99892257    
 0   2454280.80029750 0.99940460    
 0   2454280.80061480 0.99929285    
 0   2454280.80093320 0.99924211    
 0   2454280.80124770 1.0001321     
 0   2454280.80156490 0.99906148    
 0   2454280.80188240 0.99967368    
 0   2454280.80220040 1.0002374     
 0   2454280.80251890 0.99931152    
 0   2454280.80283340 0.99891468    
 0   2454280.80315080 0.99979998    
