\fixlen = T
|set|BJD          |Normalized_Flux|
|int|double       |double         |
 0   2453882.31645 .974431         
 0   2453882.31714 .974580         
 0   2453882.31784 .974605         
 0   2453882.31853 .974650         
 0   2453882.31923 .974784         
 0   2453882.31992 .974910         
 0   2453882.32062 .975130         
 0   2453882.32131 .975197         
 0   2453882.32200 .975247         
 0   2453882.32270 .975413         
 0   2453882.32339 .975496         
 0   2453882.32409 .975548         
 0   2453882.32478 .975705         
 0   2453882.32548 .976061         
 0   2453882.32617 .976213         
 0   2453882.32687 .976414         
 0   2453882.32756 .976701         
 0   2453882.32826 .976888         
 0   2453882.32895 .977180         
 0   2453882.32964 .977311         
 0   2453882.33034 .977474         
 0   2453882.33103 .977641         
 0   2453882.33173 .977925         
 0   2453882.33242 .978254         
 0   2453882.33312 .978787         
 0   2453882.33381 .979435         
 0   2453882.33450 .980293         
 0   2453882.33520 .981302         
 0   2453882.33589 .982176         
 0   2453882.33659 .983150         
 0   2453882.33728 .984166         
 0   2453882.33798 .985104         
 0   2453882.33867 .986213         
 0   2453882.33937 .987396         
 0   2453882.34006 .988545         
 0   2453882.34075 .989660         
 0   2453882.34145 .990846         
 0   2453882.34214 .991915         
 0   2453882.34284 .992979         
 0   2453882.37820 1.000051        
 0   2453882.37889 .999939         
 0   2453882.37959 .999939         
 0   2453882.38028 .999931         
 0   2453882.38098 .999971         
 0   2453882.38167 1.000019        
 0   2453882.38237 .999960         
 0   2453882.38306 1.000019        
 0   2453882.38376 1.000016        
 0   2453882.38445 1.000050        
 0   2453882.38515 .999973         
 0   2453882.38584 1.000055        
 0   2453882.38653 .999991         
 0   2453882.38723 .999995         
 0   2453882.38792 1.000002        
 0   2453882.38862 1.000040        
 0   2453882.38931 1.000013        
 0   2453882.39001 1.000033        
 0   2453882.39070 .999979         
 0   2453882.39140 1.000100        
 0   2453882.39209 .999976         
 0   2453882.39278 1.000084        
 0   2453882.39348 .999999         
 0   2453882.39417 1.000041        
 0   2453882.39487 1.000042        
 0   2453882.39556 1.000141        
 0   2453882.39626 1.000025        
 0   2453882.39695 1.000025        
 0   2453882.39765 1.000074        
 0   2453882.39834 .999995         
 0   2453882.39904 1.000012        
 0   2453882.39973 1.000046        
 0   2453882.40042 1.000047        
 0   2453882.40112 .999952         
 0   2453882.40181 .999984         
 0   2453882.40251 .999924         
 0   2453882.40320 1.000013        
 0   2453882.40390 .999901         
 0   2453882.40459 .999971         
 0   2453882.40529 .999969         
 0   2453882.40598 .999957         
 0   2453882.40667 .999978         
 0   2453882.40737 .999960         
 0   2453882.40806 .999921         
 0   2453882.40876 .999872         
 0   2453930.94625 .999770         
 0   2453930.94694 .999813         
 0   2453930.94764 .999652         
 0   2453930.94833 .999909         
 0   2453930.94902 .999828         
 0   2453930.94972 .999912         
 0   2453930.95041 1.000002        
 0   2453930.95111 .999957         
 0   2453930.95180 .999938         
 0   2453930.95250 .999941         
 0   2453930.95319 .999825         
 0   2453930.95389 .999858         
 0   2453930.95458 .999813         
 0   2453930.95527 .999897         
 0   2453930.95597 .999836         
 0   2453930.95666 .999929         
 0   2453930.95736 .999719         
 0   2453930.95805 .999857         
 0   2453930.95875 .999862         
 0   2453930.95944 .999853         
 0   2453930.96014 .999869         
 0   2453930.96083 .999884         
 0   2453930.96152 .999822         
 0   2453930.96222 .999784         
 0   2453930.96291 .999805         
 0   2453930.96361 .999905         
 0   2453930.96430 .999925         
 0   2453930.96500 .999860         
 0   2453930.96569 .999963         
 0   2453930.96639 .999957         
 0   2453930.96708 .999923         
 0   2453930.96777 .999963         
 0   2453930.96847 .999794         
 0   2453930.96916 .999974         
 0   2453930.96986 .999926         
 0   2453930.97055 .999937         
 0   2453930.97125 .999949         
 0   2453930.97194 .999936         
 0   2453930.97264 .999884         
 0   2453930.97333 .999937         
 0   2453930.97402 .999846         
 0   2453930.97472 1.000044        
 0   2453931.00996 .999941         
 0   2453931.01066 .999926         
 0   2453931.01135 .999918         
 0   2453931.01205 .999967         
 0   2453931.01274 1.000029        
 0   2453931.01343 1.000024        
 0   2453931.01413 .999984         
 0   2453931.01482 .999971         
 0   2453931.01552 .999984         
 0   2453931.01621 1.000120        
 0   2453931.01691 .999923         
 0   2453931.01760 .999991         
 0   2453931.01830 1.000002        
 0   2453931.01899 1.000074        
 0   2453931.01968 .999957         
 0   2453931.02038 1.000096        
 0   2453931.02107 .999909         
 0   2453931.02177 1.000010        
 0   2453931.02246 .999847         
 0   2453931.02316 1.000104        
 0   2453931.02385 1.000014        
 0   2453931.02455 1.000038        
 0   2453931.02524 .999933         
 0   2453931.02593 1.000025        
 0   2453931.02663 .999937         
 0   2453931.02732 1.000044        
 0   2453931.02802 .999892         
 0   2453931.02871 1.000050        
 0   2453931.02941 .999956         
 0   2453931.03010 1.000027        
 0   2453931.03080 .999907         
 0   2453931.03149 .999923         
 0   2453931.03218 1.000126        
 0   2453931.03288 .999977         
 0   2453931.03357 .999941         
 0   2453931.03427 1.000104        
 0   2453931.03496 1.000059        
 0   2453931.03566 1.000036        
 0   2453931.03635 1.000013        
 0   2453931.03705 1.000026        
